Tópico|Pregunta|Carolina Goic|José Antonio Kast|Sebastián Piñera|Alejandro Guillier|Beatriz Sánchez|Marco Enriquez-Ominami|Eduardo Artés|Alejandro Navarro
Educación|¿Qué harías con el financiamiento a la educación superior?|Gratuidad para el 60% más vulnerable|La gratuidad es injusta|Congelar la actual gratuidad|Gratuidad para el 70% más vulnerable|Eliminar CAE y avanzar hacia la gratuidad universal|Eliminar CAE y avanzar hacia la gratuidad universal|Eliminar CAE y avanzar hacia la gratuidad universal|Eliminar CAE y avanzar hacia la gratuidad universal
Pensiones|¿Qué harias con las AFP?|Más competencias entre AFP|Más competencias entre AFP|Más competencias entre AFP|AFP serán opcionales|AFP serán opcionales|AFP serán opcionales|Eliminar AFP|Eliminar AFP
Migración|¿Cuál es tu postura frente a la inmigración?|Mejorar la información sobre Chile para los migrantes|Rechazar la inmigración ilegal a todo evento|Rechazar la inmigración ilegal a todo evento|Mejorar la información sobre Chile para los migrantes|La inmigración es una contribución para el país|La inmigración es una contribución para el país|Igualdad de trato para los inmigrantes|Igualdad de trato para los inmigrantes
Genero|¿ Qué harías en materia de género?|Igualdad de derechos, deberes, trato y participación para la mujer|Dejar sin efecto todo aquello que atente contra la libertad de enseñanza, especialmente aquello que pretende imponer la ideología de género|Igualdad de derechos, deberes, trato y participación para la mujer|Impulsar una Ley de identidad de género para las personas trans. No a la discriminación de personas LGBTI|Impulsar una Ley de identidad de género para las personas trans. No a la discriminación de personas LGBTI|Política pública transversal e interministerial, que ponga fin a las desigualdades de entre hombres y mujeres|Igualdad de derechos, deberes, trato y participación para la mujer|Impulsar una Ley de identidad de género para las personas trans. No a la discriminación de personas LGBTI
Aborto|¿Cuál es tu posición sobre el aborto?|Perfeccionar la Ley con un sistema eficaz de acompañamiento, para que las mujeres opten por la vida|Revertir inmediatamente la Ley de aborto|Perfeccionar la Ley con un sistema eficaz de acompañamiento, para que las mujeres opten por la vida|Aborto libre, la mujer tiene el derecho a decidir|Aborto libre, la mujer tiene el derecho a decidir|Despenalizar el aborto terapéutico para seguir adelante con el actual Proyecto de Ley|Aborto libre, la mujer tiene el derecho a decidir|Aborto libre, la mujer tiene el derecho a decidir
Salud|¿Cómo asegurarías la salud?|Seguro social que compense los riesgos|Seguro Social como piso mínimo|Seguro Social como piso mínimo|Seguro social en que el aporte sea según capacidad y reciba según necesidad|Seguro social en que el aporte sea según capacidad y reciba según necesidad|Seguro universal y estatal con Isapres Reguladas|Seguro universal sin Isapres|Seguro universal sin Isapres
Economía y desarrollo|El crecimiento va de la mano con... |Inclusividad|Inversión extranjera|Más y mejores empleos|Protección social|Redistribución|Reforma tributaría|Nacionalización de los recursos naturales|Nacionalización de los recursos naturales
Conflicto araucanía|¿Tu postura sobre el conflicto en la Araucanía sería?|Combatir el terrorismo con todos los medios|Combatir el terrorismo con todos los medios|Combatir el terrorismo con todos los medios|La solución no pasa por la fuerza, sino por el diálogo|La solución no pasa por la fuerza, sino por el diálogo|Respetar los derechos ancestrales de los pueblos sobre sus tierras|Respetar los derechos ancestrales de los pueblos sobre sus tierras|Reconocer el derecho de los pueblos al autogobierno
